"Price","Build.year","Estimated.neighbourhood.price.per.m2","Lot.size.m2","Living.space.size.m2","Nieuwbouw","Number.of.kamers","Number.of.slaapkamers","Number.of.bathrooms","Number.of.separate.toilets","Number.of.woonlagen","Kelder","Energy.label.numeric","Garden.dummy"
525000,"1972",6035,251,135,0,5,4,1,1,3,0,5,1
425000,"1935",1435,181,109,0,4,3,1,1,3,0,4,1
575000,"1986",1855,198,138,0,5,4,1,1,3,0,7,1
259500,"1989",2190,231,92,0,5,3,1,2,3,0,7,1
1050000,"2000",1340,423,210,0,6,5,2,2,4,1,8,1
445000,"2016",1745,127,126,0,5,4,1,1,3,0,8,1
425000,"1984",7080,170,87,0,5,3,1,1,2,0,6,1
825000,"1974",5090,413,232,0,7,6,1,1,3,0,5,1
249500,"1920",580,235,124,0,5,4,1,1,2,0,2,0
550000,"1992",2040,137,111,0,4,3,1,1,3,0,8,1
859000,"2017",60,5440,300,0,9,7,3,2,3,0,8,1
389000,"1973",1310,290,108,0,5,4,1,0,3,0,6,1
495000,"1988",6220,371,141,0,3,2,1,1,2,0,6,1
560000,"1967",1440,2510,129,0,4,3,1,0,2,0,4,1
425000,"1965",220,560,99,0,5,4,1,1,2,0,5,1
415000,"1974",6160,191,131,0,5,4,1,1,3,0,6,1
310000,"2012",2045,82,80,0,4,2,1,2,3,0,8,1
525000,"1990",2590,280,131,0,4,3,1,1,3,0,6,1
289000,"1963",2850,333,89,0,5,3,1,1,2,0,3,1
385000,"2017",3035,140,119,0,5,4,1,1,3,0,8,1
485000,"2008",9455,130,126,0,5,4,1,1,3,0,8,1
335000,"2009",825,135,91,0,5,3,1,1,3,0,8,1
315000,"1971",4075,153,135,0,5,4,1,1,3,0,6,1
675000,"1976",3610,1146,233,0,9,4,1,1,2,0,6,1
275000,"1984",5980,153,90,0,5,4,1,1,3,0,7,1
595000,"1953",1820,238,124,0,6,4,1,1,2,0,8,1
389000,"1920",1865,109,127,0,5,4,1,1,3,0,6,1
450000,"1978",1830,143,132,0,5,3,1,1,3,0,8,1
